nameActual,nameNBA,nameBREF
isActiveWithTeam,ACTIVE_WITH_TEAM,NA
isAllStar,isAllStar,NA
isEliminatedConference,EliminatedConference,NA
isEliminatedDivision,EliminatedDivision,NA
isEliminatedPlayoffs,ELIMINATED_PLAYOFFS,NA
isHomePossession,HOME_POSS_IND,NA
isNBAFranchise,isNBAFranchise,NA
isPaceAdjust,PaceAdjust,NA
isPlayVisible,ISVISIBLE,NA
isPlusMinus,PlusMinus,NA
isRank,Rank,NA
isShotAttempted,SHOT_ATTEMPTED_FLAG,NA
isShotMade,SHOT_MADE_FLAG,NA
isStarter,court,NA
isWinStreak,isWinStreak,NA
leadLargest,LARGEST_LEAD,NA
lengthHandInches,HAND_LENGTH,NA
locationGame,LOCATION,NA
locationGame,TEAM_GAME_LOCATION,NA
locationGame,Location,NA
locationGame,status,NA
locationInjury,Injury_Location,NA
locationX,LOC_X,NA
locationY,LOC_Y,NA
looseBallsRecovered,LOOSE_BALLS_RECOVERED,NA
looseBallsRecoveredDefense,DEF_LOOSE_BALLS_RECOVERED,NA
looseBallsRecoveredOffense,OFF_LOOSE_BALLS_RECOVERED,NA
losses,L,NA
losses,LOSSES,NA
losses,loss,NA
lossesAway,awayLoss,NA
lossesConference,confLoss,NA
lossesDivision,divLoss,NA
lossesHome,homeLoss,NA
lossesLast10,lastTenLoss,NA
lossesPlayoffsSeedHIgh,HIGH_SEED_SERIES_L,NA
lossesRank,L_RANK,NA
marginScore,SCOREMARGIN,NA
measureContext,ContextMeasure,NA
minutes,MIN,MP
minutes,MINUTES,MP
minutes,min,MP
minutesPossesions,POSS_MINUTES,NA
minutesRank,RANK_MIN,NA
minutesRank,MIN_RANK,NA
minutesRankPer36,RANK_PMIN_MIN,NA
minutesRankPerGame,RANK_PG_MIN,NA
minutesRemaining,MINUTES_REMAINING,NA
minutsRankF,F_RANK_MINUTES,NA
modeSearch,PerMode,NA
mphMean,SPD,NA
nameAccount,ACCOUNTTYPE,NA
nameArena,ARENA,NA
nameArena,ARENA_NAME,NA
nameArena,an,NA
nameCityTeam,SHORT_NAME,NA
nameCollege,collegeName,NA
nameConference,Conference,NA
nameConference,CONFERENCE,NA
nameConference,TEAM_CONFERENCE,NA
nameConference,confName,NA
nameCountry,country,NA
nameDivision,TEAM_DIVISION,NA
nameDivision,divName,NA
nameDivison,Division,NA
nameDLeagueAffiliate,DLEAGUEAFFILIATION,NA
nameFirst,FIRST_NAME,NA
nameFirst,FirstName,NA
nameFirst,PlayerFirstName,NA
nameFirst,firstName,NA
nameFirst,fn,NA
nameGeneralManager,GENERALMANAGER,NA
nameGroup,GROUP_SET,NA
nameGroup,GROUP_NAME,NA
nameGroupValue,GROUP_VALUE,NA
nameHeadCoach,HEADCOACH,NA
nameLast,LAST_NAME,NA
nameLast,LastName,NA
nameLast,PlayerLastName,NA
nameLast,lastName,NA
nameLast,ln,NA
nameOrganizationFrom,ORGANIZATION,NA
nameOrganizationFrom,LAST_AFFILIATION,NA
nameOrganizationFrom,lastAffiliation,NA
nameOwner,OWNER,NA
namePlayer,DISPLAY_FIRST_LAST,Player
namePlayer,PLAYER_NAME,Player
namePlayer,PLAYER,Player
namePlayer,PLAYER_NAME,Player
namePlayer1,PLAYER1_NAME,NA
namePlayer2,PLAYER2_NAME,NA
namePlayer3,PLAYER3_NAME,NA
namePlayerAbbr,DISPLAY_FI_LAST,NA
namePlayerASTLeader,AST_PLAYER_NAME,NA
